key,term
oop.debates_CDC0903_03,"1,9,144,220"
oop.debates_SOC0602,"5,6,37,38"
oop.debates_SOC2106_01,"5,6,271,272"
oop.debates_CDC1905_06,"1,9,347,598"
oop.debates_HOC0502_01,"5,12,19,141"
oop.debates_CDC0904_01,"1,9,144,156"
oop.debates_HOC0703,"5,12,70,71"
oop.debates_CDC2105_02,"1,9,299,300"
oop.debates_CDC2203_04,"1,9,356,357"
oop.debates_CDC1205_02,"1,9,308,501"
oop.debates_HOC2301_01,"5,12,487,488"
oop.debates_HOC2201_20,"5,12,247,601"
oop.debates_SOC2105_01,"5,6,271,673"
oop.debates_SDC2101_01,"1,2,368,426"
oop.debates_CDC2005_20,"1,9,504,666"
oop.debates_CDC1604_01,"1,9,351,547"
oop.debates_CDC3301_07,"1,9,609,663"
oop.debates_HOC2401_02,"5,12,310,311"
oop.debates_HOC3501_02,"5,12,93,94"
oop.debates_SOC0304_03,"5,6,49,105"
oop.debates_HOC3501_07,"5,12,93,94"
oop.debates_HOC3301_05,"5,12,358,692"
oop.debates_HOC2601_30,"5,12,295,296"
oop.debates_SDC1806_19,"1,2,305,429"
oop.debates_HOC2804_04,"5,12,245,447"
oop.debates_HOC2804_02,"5,12,245,447"
oop.debates_HOC0702,"5,12,70,146"
oop.debates_CDC1904_20,"1,9,347,393"
oop.debates_CDC3201_02,"1,9,491,521"
oop.debates_SOC1701,"5,6,354,537"
oop.debates_HOC1702_20,"5,12,261,653"
oop.debates_HOC2105_02,"5,12,327,416"
oop.debates_HOC1004_01,"5,12,273,608"
oop.debates_CDC2404_03,"1,9,251,678"
oop.debates_SDC3301_02,"1,2,404,409"
oop.debates_HOC2004_01,"5,12,302,589"
oop.debates_SOC2701_01,"5,6,467,550"
oop.debates_HOC3201_16,"5,12,333,334"
oop.debates_CDC1705,"1,9,286,427"
oop.debates_HOC3201_23,"5,12,333,334"
oop.debates_HOC0604_02,"5,12,17,18"
oop.debates_HOC0701,"5,12,70,135"
oop.debates_CDC1401_04,"1,9,241,532"
oop.debates_CDC2404_08,"1,9,251,678"
oop.debates_CDC1202_20,"1,9,308,623"
oop.debates_HOC1604_01,"5,12,343,444"
oop.debates_CDC1601_01,"1,9,351,352"
oop.debates_HOC3403_04,"5,12,15,16"
oop.debates_CDC2501_20,"1,9,685,686"
oop.debates_HOC1401,"5,12,256,590"
oop.debates_HOC0802_02,"5,12,21,104"
oop.debates_SOC2103,"5,6,271,364"
oop.debates_CDC1602,"1,9,351,363"
oop.debates_CDC2301_20,"1,9,471,472"
oop.debates_SOC3202_01,"5,6,510,511"
oop.debates_SOC2801_02,"5,6,292,693"
oop.debates_SDC2201,"1,2,313,461"
oop.debates_CDC2002_02,"1,9,504,683"
oop.debates_CDC0603_01,"1,9,67,169"
oop.debates_HOC1906,"5,12,337,338"
oop.debates_SDC1703,"1,2,410,617"
oop.debates_CDC2204,"1,9,356,616"
oop.debates_CDC2702_06,"1,9,284,285"
oop.debates_CDC2501_01,"1,9,685,686"
oop.debates_HOC3003,"5,12,349,603"
oop.debates_CDC1706_01,"1,9,286,287"
oop.debates_HOC2202_06,"5,12,247,263"
oop.debates_CDC2001,"1,9,504,664"
oop.debates_HOC0802,"5,12,21,104"
oop.debates_SOC0304,"5,6,49,105"
oop.debates_CDC3501_14,"1,9,206,211"
oop.debates_HOC1001_03,"5,12,273,377"
oop.debates_CDC1102_05,"1,9,365,528"
oop.debates_CDC2104_03,"1,9,299,650"
oop.debates_CDC3201_06,"1,9,491,521"
oop.debates_HOC0804_02,"5,12,21,98"
oop.debates_CDC0701,"1,9,58,186"
oop.debates_CDC1003,"1,9,249,421"
oop.debates_SDC1602_01,"1,2,254,255"
oop.debates_HOC0105,"5,12,51,189"
